3978,5,1,Record_Identifier,VARCHAR2,1
3978,5,2,Processor_Identifier,VARCHAR2,10
3978,5,3,Batch_Number,VARCHAR2,5
3978,5,4,Pharmacy_count,Number,6
3978,5,5,Claim_Count,Number,8
3978,5,6,Amount_Billed_Per_Batch,Number,11
3978,5,7,Filler,VARCHAR2,659
3978,1,59,ADMIN_FEE,NUMBER,9
3978,2,1,Record_Identifier,VARCHAR2,1
3978,2,6,Carrier_Location_City,VARCHAR2,18
3978,2,9,Carrier_Telephone_Nbr,VARCHAR2,10
3978,2,10,Run_Date,DATE,8
3978,2,11,Filler,VARCHAR2,597
3978,3,1,Record_Identifier,VARCHAR2,1
3978,3,2,Processor_Identifier,VARCHAR2,10
3978,3,3,Batch_Number,VARCHAR2,5
3978,3,4,Pharmacy_NABP_Number,VARCHAR2,15
3978,3,5,Pharmacy_Name,VARCHAR2,20
3978,3,6,Pharmacy_Address,VARCHAR2,20
3978,3,7,Pharmacy_Location_City,VARCHAR2,18
3978,3,8,Pharmacy_Location_State,VARCHAR2,2
3978,3,9,Pharmacy_Zip_Code,VARCHAR2,9
3978,3,10,Filler,VARCHAR2,600
3978,1,10,METRIC_QUANTITY,NUMBER,10
3978,1,11,DAYS_SUPPLY,NUMBER,3
3978,1,12,BASIS_OF_COST_DETERMINATION,VARCHAR2,2
3978,1,13,INGREDIENT_COST,NUMBER,9
3978,1,14,DISPENSING_FEE_SUBMITTED,NUMBER,9
3978,1,15,COPAY_AMOUNT,NUMBER,9
3978,1,1,RECORD_IDENTIFIER,VARCHAR2,1
3978,1,2,PROCESSOR_IDENTIFIER,VARCHAR2,10
3978,1,3,BATCH_NUMBER,VARCHAR2,5
3978,1,4,PHARMACY_NABP_NUMBER,VARCHAR2,15
3978,1,5,PRESCRIPTION_NUMBER,VARCHAR2,9
3978,1,6,DATE_FILLED,DATE,8
3978,1,7,NDC_NUMBER,VARCHAR2,11
3978,1,8,DRUG_DESCRIPTION,VARCHAR2,30
3978,1,9,NEW_REFILL_CODE,VARCHAR2,2
3978,1,16,SALES_TAX,NUMBER,8
3978,1,17,AMOUNT_PAID,NUMBER,9
3978,1,18,PATIENT_FIRST_NAME,VARCHAR2,12
3978,1,19,PATIENT_LAST_NAME,VARCHAR2,15
3978,1,20,DATE_OF_BIRTH,DATE,8
3978,1,21,SEX_CODE,VARCHAR2,1
3978,1,22,CARDHOLDER_MEMBER_ID,VARCHAR2,18
3978,1,23,RELATIONSHIP_CODE,VARCHAR2,1
3978,1,24,GROUP_NUMBER,VARCHAR2,18
3978,1,25,THERAPEUTIC_CLASS_CODE,VARCHAR2,3
3978,1,26,CLAIM_TYPE,VARCHAR2,1
3978,1,27,REJECT_REASON_CODE,VARCHAR2,2
3978,1,28,PRESCRIBER_ID,VARCHAR2,15
3978,1,29,DIAGNOSIS_CODE,VARCHAR2,6
3978,1,30,FINANCIAL_CUTOFF_DATE,DATE,8
3978,1,31,FILLER1,VARCHAR2,7
3978,1,32,PRESCRIPTION_NUMBER_EXPANDED,VARCHAR2,12
3978,1,33,PRIOR_AUTHORIZATION,VARCHAR2,12
3978,1,34,FILLER2,VARCHAR2,7
3978,1,35,CUSTOMER_LOCATION,VARCHAR2,2
3978,1,36,FILLER3,VARCHAR2,1
3978,1,37,FORMULARY_INDICATOR,VARCHAR2,1
3978,1,38,DATE_PRESCRIPTION_WRITTEN,DATE,8
3978,1,39,DISPENSE_AS_WRITTEN,VARCHAR2,1
3978,1,40,PERSON_CODE,VARCHAR2,3
3978,1,41,OTHER_COVERAGE_CODE,VARCHAR2,2
3978,1,42,ELIGIBILITY_CLARIFICATION_CODE,VARCHAR2,1
3978,1,43,COMPOUND_CODE,VARCHAR2,1
3978,1,44,NUMBER_OF_REFILLS_AUTHORIZED,NUMBER,2
3978,1,45,LEVEL_OF_SERVICE,VARCHAR2,2
3978,1,46,PRESCRIPTION_ORIGIN_CODE,VARCHAR2,1
3978,1,47,TIER_LEVEL,VARCHAR2,1
3978,1,48,PRESC_DENIAL_CLARIFICATION,VARCHAR2,1
3978,1,49,PRIMARY_PRESCRIBER,VARCHAR2,10
3978,1,50,PHARMACY_TYPE,VARCHAR2,1
3978,1,51,FILLER4,VARCHAR2,4
3978,1,52,DRUG_TYPE,VARCHAR2,1
3978,1,53,CLAIM_NUMBER,VARCHAR2,19
3978,1,54,UNIT_DOSE_INDICATOR,VARCHAR2,1
3978,1,55,PROFESSIONAL_FEES,NUMBER,9
3978,1,56,BASISOF_DAYS_SUPPLY_DETERMINA,VARCHAR2,1
3978,1,57,AWP,NUMBER,9
3978,1,58,MBR_AMT_APP_TO_DEDUCT,NUMBER,9
3978,1,60,FILLER5,VARCHAR2,2
3978,1,61,CLAIM_SUBMITTED_DATE,DATE,8
3978,1,62,MEMBERID2,VARCHAR2,18
3978,1,63,FILLER6,VARCHAR2,276
3978,2,2,Processor_Identifier,VARCHAR2,10
3978,2,3,Batch_Number,VARCHAR2,5
3978,2,4,Carrier_Name,VARCHAR2,20
3978,2,5,Carrier_Address,VARCHAR2,20
3978,2,7,Carrier_Location_State,VARCHAR2,2
3978,6,1,Record_Identifier,VARCHAR2,1
3978,6,2,Processor_Identifier,VARCHAR2,10
3978,6,3,Batch_Number,VARCHAR2,5
3978,6,4,Claim_count,Number,8
3978,6,5,Amount_Billed_Per_Pharmacy,Number,11
3978,6,6,Filler,VARCHAR2,665
3978,2,8,Carrier_Zip_Code,VARCHAR2,9
