2442,1,1,claimsrxTableID,VARCHAR2,7
2442,1,2,PBM_NAME,VARCHAR2,15
2442,1,3,RecID,VARCHAR2,1
2442,1,4,PharmNo,VARCHAR2,12
2442,1,5,RXNO,VARCHAR2,9
2442,1,6,filldat,DATE,10
2442,1,7,ndcno,VARCHAR2,20
2442,1,8,RXDESC,VARCHAR2,30
2442,1,9,REFILLCD,VARCHAR2,2
2442,1,10,RXQUANT,NUMBER,3
2442,1,11,DAYSUPP,NUMBER,4
2442,1,12,COSTBASIS,VARCHAR2,2
2442,1,13,INGCOST,NUMBER,16
2442,1,14,DISPFEE,NUMBER,16
2442,1,15,COPAY,NUMBER,16
2442,1,16,SALESTAX,NUMBER,16
2442,1,17,BILLAMT,NUMBER,16
2442,1,18,PATFIRST,VARCHAR2,25
2442,1,19,PATLAST,VARCHAR2,35
2442,1,20,PATDOB,DATE,10
2442,1,21,PATSEX,VARCHAR2,1
2442,1,22,CARDID,VARCHAR2,18
2442,1,23,RELCOD,VARCHAR2,1
2442,1,24,GRPNUM,VARCHAR2,15
2442,1,25,PRESID,VARCHAR2,10
2442,1,26,DIAGCD,VARCHAR2,15
2442,1,27,CARDFIRST,VARCHAR2,25
2442,1,28,CARDLAST,VARCHAR2,35
2442,1,29,PRESCDAT,DATE,10
2442,1,30,DISPCD,VARCHAR2,1
2442,1,31,ELIGCD,VARCHAR2,1
2442,1,32,COMPCD,VARCHAR2,1
2442,1,33,NUMREF,VARCHAR2,2
2442,1,34,RXTYPE,VARCHAR2,1
2442,1,35,PRESLST,VARCHAR2,15
2442,1,36,UNITDOSE,VARCHAR2,1
2442,1,37,OTHERAMT,NUMBER,16
2442,1,38,PAYAMT,NUMBER,16
2442,1,39,PAYDAT,DATE,10
2442,1,40,CAREFAC,VARCHAR2,6
2442,1,41,mailorder,VARCHAR2,1
2442,1,42,FORMULARYSTAT,VARCHAR2,1
